# λ	f(λ)
-52.6969802933067	-20.6314287475225
-52.6869802933067	-20.5980443948065
-52.6769802933067	-20.5646359363388
-52.6669802933067	-20.5312033331075
-52.6569802933067	-20.4977465460149
-52.6469802933067	-20.4642655358779
-52.6369802933067	-20.4307602634273
-52.6269802933067	-20.3972306893075
-52.6169802933067	-20.3636767740766
-52.6069802933067	-20.3300984782058
-52.5969802933067	-20.2964957620794
-52.5869802933067	-20.2628685859945
-52.5769802933067	-20.2292169101609
-52.5669802933067	-20.1955406947004
-52.5569802933067	-20.1618398996471
-52.5469802933067	-20.1281144849469
-52.5369802933067	-20.0943644104572
-52.5269802933067	-20.0605896359467
-52.5169802933067	-20.0267901210954
-52.5069802933067	-19.9929658254939
-52.4969802933067	-19.9591167086435
-52.4869802933068	-19.9252427299558
-52.4769802933068	-19.8913438487526
-52.4669802933068	-19.8574200242654
-52.4569802933068	-19.8234712156353
-52.4469802933068	-19.789497381913
-52.4369802933068	-19.7554984820578
-52.4269802933068	-19.7214744749384
-52.4169802933068	-19.6874253193316
-52.4069802933068	-19.6533509739227
-52.3969802933068	-19.6192513973052
-52.3869802933068	-19.5851265479802
-52.3769802933068	-19.5509763843565
-52.3669802933068	-19.5168008647501
-52.3569802933068	-19.4825999473841
-52.3469802933068	-19.4483735903883
-52.3369802933068	-19.414121751799
-52.3269802933068	-19.3798443895589
-52.3169802933068	-19.3455414615165
-52.3069802933068	-19.3112129254261
-52.2969802933068	-19.2768587389475
-52.2869802933068	-19.2424788596456
-52.2769802933068	-19.2080732449903
-52.2669802933068	-19.173641852356
-52.2569802933068	-19.1391846390218
-52.2469802933068	-19.1047015621705
-52.2369802933068	-19.0701925788891
-52.2269802933068	-19.035657646168
-52.2169802933068	-19.0010967209009
-52.2069802933068	-18.9665097598846
-52.1969802933068	-18.9318967198187
-52.1869802933068	-18.897257557305
-52.1769802933068	-18.8625922288478
-52.1669802933068	-18.8279006908533
-52.1569802933068	-18.7931828996291
-52.1469802933068	-18.7584388113845
-52.1369802933068	-18.7236683822296
-52.1269802933068	-18.6888715681755
-52.1169802933068	-18.6540483251338
-52.1069802933068	-18.6191986089162
-52.0969802933068	-18.5843223752345
-52.0869802933068	-18.5494195797001
-52.0769802933068	-18.5144901778239
-52.0669802933068	-18.4795341250158
-52.0569802933068	-18.4445513765845
-52.0469802933068	-18.4095418877373
-52.0369802933068	-18.3745056135797
-52.0269802933068	-18.3394425091151
-52.0169802933068	-18.3043525292447
-52.0069802933068	-18.2692356287668
-51.9969802933068	-18.234091762377
-51.9869802933068	-18.1989208846677
-51.9769802933069	-18.1637229501275
-51.9669802933069	-18.1284979131415
-51.9569802933069	-18.0932457279905
-51.9469802933069	-18.0579663488509
-51.9369802933069	-18.0226597297944
-51.9269802933069	-17.9873258247876
-51.9169802933069	-17.9519645876921
-51.9069802933069	-17.9165759722635
-51.8969802933069	-17.8811599321517
-51.8869802933069	-17.8457164209001
-51.8769802933069	-17.810245391946
-51.8669802933069	-17.7747467986196
-51.8569802933069	-17.7392205941437
-51.8469802933069	-17.7036667316342
-51.8369802933069	-17.6680851640988
-51.8269802933069	-17.6324758444372
-51.8169802933069	-17.5968387254409
-51.8069802933069	-17.5611737597923
-51.7969802933069	-17.5254809000653
-51.7869802933069	-17.489760098724
-51.7769802933069	-17.4540113081231
-51.7669802933069	-17.4182344805072
-51.7569802933069	-17.3824295680107
-51.7469802933069	-17.3465965226574
-51.7369802933069	-17.31073529636
-51.7269802933069	-17.2748458409201
-51.7169802933069	-17.2389281080276
-51.7069802933069	-17.2029820492607
-51.6969802933069	-17.1670076160852
-51.6869802933069	-17.1310047598543
-51.6769802933069	-17.0949734318085
-51.6669802933069	-17.0589135830749
-51.6569802933069	-17.0228251646672
-51.6469802933069	-16.9867081274851
-51.6369802933069	-16.9505624223141
-51.6269802933069	-16.9143879998253
-51.6169802933069	-16.8781848105748
-51.6069802933069	-16.8419528050035
-51.5969802933069	-16.8056919334367
-51.5869802933069	-16.769402146084
-51.5769802933069	-16.7330833930385
-51.5669802933069	-16.6967356242769
-51.5569802933069	-16.660358789659
-51.5469802933069	-16.6239528389272
-51.5369802933069	-16.5875177217064
-51.5269802933069	-16.5510533875037
-51.5169802933069	-16.5145597857075
-51.5069802933069	-16.478036865588
-51.4969802933069	-16.4414845762961
-51.4869802933069	-16.4049028668634
-51.476980293307	-16.368291686202
-51.466980293307	-16.3316509831039
-51.456980293307	-16.2949807062404
-51.446980293307	-16.2582808041623
-51.436980293307	-16.2215512252993
-51.426980293307	-16.1847919179596
-51.416980293307	-16.1480028303295
-51.406980293307	-16.1111839104731
-51.396980293307	-16.0743351063319
-51.386980293307	-16.0374563657248
-51.376980293307	-16.0005476363469
-51.366980293307	-15.9636088657701
-51.356980293307	-15.926640001442
-51.346980293307	-15.8896409906859
-51.336980293307	-15.8526117807005
-51.326980293307	-15.8155523185591
-51.316980293307	-15.7784625512096
-51.306980293307	-15.7413424254741
-51.296980293307	-15.7041918880484
-51.286980293307	-15.6670108855017
-51.276980293307	-15.6297993642761
-51.266980293307	-15.5925572706864
-51.256980293307	-15.5552845509197
-51.246980293307	-15.5179811510346
-51.236980293307	-15.4806470169618
-51.226980293307	-15.4432820945024
-51.216980293307	-15.4058863293287
-51.206980293307	-15.368459666983
-51.196980293307	-15.3310020528778
-51.186980293307	-15.2935134322948
-51.176980293307	-15.2559937503852
-51.166980293307	-15.2184429521685
-51.156980293307	-15.1808609825331
-51.146980293307	-15.1432477862349
-51.136980293307	-15.1056033078975
-51.126980293307	-15.0679274920118
-51.116980293307	-15.0302202829352
-51.106980293307	-14.9924816248917
-51.096980293307	-14.954711461971
-51.086980293307	-14.9169097381287
-51.076980293307	-14.8790763971852
